Sunday,2016/02/22,Milk 1l,2,10
Sunday,2016/02/22,Imasi,2,25
Sunday,2016/02/22,Bread,3,12
Sunday,2016/02/22,Chakalaka Can,0,10
Sunday,2016/02/22,Gold Dish Vegetable Curry Can,1,9
Sunday,2016/02/22,Fanta 500ml,2,6.5
Sunday,2016/02/22,Coke 500ml,0,6.5
Sunday,2016/02/22,Cream Soda 500ml,0,7.5
Sunday,2016/02/22,Iwisa Pap 5kg,0,30
Sunday,2016/02/22,Top Class Soy Mince,0,12
Sunday,2016/02/22,Shampoo 1 litre,0,30
Sunday,2016/02/22,Soap Bar,1,6
Sunday,2016/02/22,Bananas - loose,0,2
Sunday,2016/02/22,Apples - loose,1,2
Sunday,2016/02/22,Mixed Sweets 5s,3,3
Monday,2016/02/23,Milk 1l,8,10
Monday,2016/02/23,Imasi,6,25
Monday,2016/02/23,Bread,2,12
Monday,2016/02/23,Chakalaka Can,2,10
Monday,2016/02/23,Gold Dish Vegetable Curry Can,1,9
Monday,2016/02/23,Fanta 500ml,1,6.5
Monday,2016/02/23,Coke 500ml,3,6.5
Monday,2016/02/23,Cream Soda 500ml,0,7.5
Monday,2016/02/23,Iwisa Pap 5kg,2,30
Monday,2016/02/23,Top Class Soy Mince,1,12
Monday,2016/02/23,Shampoo 1 litre,0,30
Monday,2016/02/23,Soap Bar,0,6
Monday,2016/02/23,Bananas - loose,2,2
Monday,2016/02/23,Apples - loose,1,2
Monday,2016/02/23,Mixed Sweets 5s,3,3
Tuesday,2016/02/24,Milk 1l,4,10
Tuesday,2016/02/24,Imasi,2,25
Tuesday,2016/02/24,Bread,6,12
Tuesday,2016/02/24,Chakalaka Can,1,10
Tuesday,2016/02/24,Gold Dish Vegetable Curry Can,2,9
Tuesday,2016/02/24,Fanta 500ml,1,6.5
Tuesday,2016/02/24,Coke 500ml,2,6.5
Tuesday,2016/02/24,Cream Soda 500ml,1,7.5
Tuesday,2016/02/24,Iwisa Pap 5kg,1,30
Tuesday,2016/02/24,Top Class Soy Mince,2,12
Tuesday,2016/02/24,Shampoo 1 litre,0,30
Tuesday,2016/02/24,Soap Bar,1,6
Tuesday,2016/02/24,Bananas - loose,5,2
Tuesday,2016/02/24,Apples - loose,3,2
Tuesday,2016/02/24,Mixed Sweets 5s,7,2
Wednesday,2016/02/25,Milk 1l,8,10
Wednesday,2016/02/25,Imasi,6,25
Wednesday,2016/02/25,Bread,7,12
Wednesday,2016/02/25,Chakalaka Can,5,10
Wednesday,2016/02/25,Gold Dish Vegetable Curry Can,4,9
Wednesday,2016/02/25,Fanta 500ml,6,6.5
Wednesday,2016/02/25,Coke 500ml,8,6.5
Wednesday,2016/02/25,Cream Soda 500ml,5,7.5
Wednesday,2016/02/25,Iwisa Pap 5kg,3,30
Wednesday,2016/02/25,Top Class Soy Mince,7,12
Wednesday,2016/02/25,Shampoo 1 litre,1,30
Wednesday,2016/02/25,Soap Bar,4,6
Wednesday,2016/02/25,Bananas - loose,2,2
Wednesday,2016/02/25,Apples - loose,8,2
Wednesday,2016/02/25,Mixed Sweets 5s,5,2
Thursday,2016/02/26,Milk 1l,8,10
Thursday,2016/02/26,Imasi,8,25
Thursday,2016/02/26,Bread,5,12
Thursday,2016/02/26,Chakalaka Can,3,10
Thursday,2016/02/26,Gold Dish Vegetable Curry Can,7,9
