Sunday,2016/02/15,Milk 1l,2,10
Sunday,2016/02/15,Imasi,2,25
Sunday,2016/02/15,Bread,1,12
Sunday,2016/02/15,Chakalaka Can,3,10
Sunday,2016/02/15,Gold Dish Vegetable Curry Can,0,9
Sunday,2016/02/15,Fanta 500ml,5,6.5
Sunday,2016/02/15,Coke 500ml,4,6.5
Sunday,2016/02/15,Cream Soda 500ml,2,7.5
Sunday,2016/02/15,Iwisa Pap 5kg,0,30
Sunday,2016/02/15,Top Class Soy Mince,1,12
Sunday,2016/02/15,Shampoo 1 litre,0,30
Sunday,2016/02/15,Soap Bar,1,6
Sunday,2016/02/15,Bananas - loose,1,2
Sunday,2016/02/15,Apples - loose,1,2
Sunday,2016/02/15,Mixed Sweets 5s,3,3
Monday,2016/02/16,Milk 1l,7,10
Monday,2016/02/16,Imasi,6,25
Monday,2016/02/16,Bread,4,12
Monday,2016/02/16,Chakalaka Can,3,10
Monday,2016/02/16,Gold Dish Vegetable Curry Can,2,9
Monday,2016/02/16,Fanta 500ml,2,6.5
Monday,2016/02/16,Coke 500ml,1,6.5
Monday,2016/02/16,Cream Soda 500ml,2,7.5
Monday,2016/02/16,Iwisa Pap 5kg,2,30
Monday,2016/02/16,Top Class Soy Mince,1,12
Monday,2016/02/16,Shampoo 1 litre,0,30
Monday,2016/02/16,Soap Bar,2,6
Monday,2016/02/16,Bananas - loose,2,2
Monday,2016/02/16,Apples - loose,3,2
Monday,2016/02/16,Mixed Sweets 5s,5,3
Tuesday,2016/02/17,Milk 1l,8,10
Tuesday,2016/02/17,Imasi,6,25
Tuesday,2016/02/17,Bread,3,12
Tuesday,2016/02/17,Chakalaka Can,0,10
Tuesday,2016/02/17,Gold Dish Vegetable Curry Can,0,9
Tuesday,2016/02/17,Fanta 500ml,0,6.5
Tuesday,2016/02/17,Coke 500ml,2,6.5
Tuesday,2016/02/17,Cream Soda 500ml,0,7.5
Tuesday,2016/02/17,Iwisa Pap 5kg,1,30
Tuesday,2016/02/17,Top Class Soy Mince,2,12
Tuesday,2016/02/17,Shampoo 1 litre,0,30
Tuesday,2016/02/17,Soap Bar,1,6
Tuesday,2016/02/17,Bananas - loose,2,2
Tuesday,2016/02/17,Apples - loose,6,2
Tuesday,2016/02/17,Mixed Sweets 5s,5,2
Wednesday,2016/02/18,Milk 1l,3,10
Wednesday,2016/02/18,Imasi,5,25
Wednesday,2016/02/18,Bread,5,12
Wednesday,2016/02/18,Chakalaka Can,1,10
Wednesday,2016/02/18,Gold Dish Vegetable Curry Can,0,9
Wednesday,2016/02/18,Fanta 500ml,0,6.5
Wednesday,2016/02/18,Coke 500ml,3,6.5
Wednesday,2016/02/18,Cream Soda 500ml,2,7.5
Wednesday,2016/02/18,Iwisa Pap 5kg,1,30
Wednesday,2016/02/18,Top Class Soy Mince,1,12
Wednesday,2016/02/18,Shampoo 1 litre,1,30
Wednesday,2016/02/18,Soap Bar,1,6
Wednesday,2016/02/18,Bananas - loose,1,2
Wednesday,2016/02/18,Apples - loose,3,2
Wednesday,2016/02/18,Mixed Sweets 5s,2,2
Thursday,2016/02/19,Milk 1l,5,10
Thursday,2016/02/19,Imasi,3,25
Thursday,2016/02/19,Bread,5,12
Thursday,2016/02/19,Chakalaka Can,2,10
Thursday,2016/02/19,Gold Dish Vegetable Curry Can,1,9
Thursday,2016/02/19,Fanta 500ml,1,6.5
Thursday,2016/02/19,Coke 500ml,1,6.5
Thursday,2016/02/19,Cream Soda 500ml,0,7.5
Thursday,2016/02/19,Iwisa Pap 5kg,0,30
Thursday,2016/02/19,Top Class Soy Mince,2,12
Thursday,2016/02/19,Shampoo 1 litre,2,30
Thursday,2016/02/19,Soap Bar,0,6
Thursday,2016/02/19,Bananas - loose,3,2
Thursday,2016/02/19,Apples - loose,5,2
Thursday,2016/02/19,Mixed Sweets 5s,4,3
Friday,2016/02/20,Milk 1l,4,10
Friday,2016/02/20,Imasi,2,25
Friday,2016/02/20,Bread,3,12
Friday,2016/02/20,Chakalaka Can,5,10
Friday,2016/02/20,Gold Dish Vegetable Curry Can,3,9
Friday,2016/02/20,Fanta 500ml,3,6.5
Friday,2016/02/20,Coke 500ml,5,6.5
Friday,2016/02/20,Cream Soda 500ml,6,7.5
Friday,2016/02/20,Iwisa Pap 5kg,0,30
Friday,2016/02/20,Top Class Soy Mince,3,12
Friday,2016/02/20,Shampoo 1 litre,1,30
Friday,2016/02/20,Soap Bar,3,6
Friday,2016/02/20,Bananas - loose,6,2
Friday,2016/02/20,Apples - loose,4,2
Friday,2016/02/20,Mixed Sweets 5s,8,3
Saturday,2016/02/21,Milk 1l,1,10
Saturday,2016/02/21,Imasi,1,25
Saturday,2016/02/21,Bread,3,12
Saturday,2016/02/21,Chakalaka Can,3,10
Saturday,2016/02/21,Gold Dish Vegetable Curry Can,2,9
Saturday,2016/02/21,Fanta 500ml,3,6.5
Saturday,2016/02/21,Coke 500ml,2,6.5
Saturday,2016/02/21,Cream Soda 500ml,0,7.5
Saturday,2016/02/21,Iwisa Pap 5kg,0,30
Saturday,2016/02/21,Top Class Soy Mince,2,12
Saturday,2016/02/21,Shampoo 1 litre,0,30
Saturday,2016/02/21,Soap Bar,0,6
Saturday,2016/02/21,Bananas - loose,2,2
Saturday,2016/02/21,Apples - loose,3,2
Saturday,2016/02/21,Mixed Sweets 5s,2,3
